RamRao	training	Sadako	In Jôji Iida's "Rasen", ██████ explained that the reason behind her curse towards unfortunates was for others to experience pure fear, the same kind of fear she went through all alone at the bottom of a darkened well.
RamRao	training	Sadako	<br /><br />In Norio Tsuruta's "Bâsudei", the "██████" series continues, except this time we follow a young woman, named ██████(Yukie Nakama), haunted by a ghoulish alter ego with considerable power.
RamRao	training	Hiroshi Tôyama	A sound effects engineer, ██████████████(Seiichi Tanabe), seems to be the only one who accepts her without contention, actually encouraging once she receives the leading role after the actress dies under suspicious, and very unusual, circumstances.
RamRao	training	Sadako	The troupe and crew soon come to the understanding, thanks to a news reporter who instigates a lynch mob after the director(..who initiates a traumatic situation, accusing ██████, an actress he put in position to become a star, of killing the lead actress)is found murdered, his body discovered by a stage hand, that they are accursed(..her photographer's snapshots reveal their distorted faces and other disturbing images).
RamRao	training	Sadako	<br /><br />A different approach to the "Ringu" series this time making ██████ a sympathetic figure, a young woman tormented by others when, in fact, she is as much a victim as those whose lives are harmed by the vengeful ghoul.
RamRao	training	Sadako	The ghoul is, in a sense, ██████'s "protector", a kind of spectre that haunts the theater, and we see how the troupe and crew always respond to our heroine with disdain and disregard.
RamRao	training	Sadako	Tôyama becomes her sole friend and confident and their blossoming romance is the heart and soul of "Ringu 0-Birthday", as he attempts to rescue her from all those that find ██████ a threat..to no avail.
RamRao	training	Sadako	We see how the reporter finds ██████, understanding her past(..including ██████'s relationship to a psychiatrist named Ikuma, portrayed by Daisuke Ban, who had disappeared after being excommunicated by his colleagues and peers), with designs on destroying her life.
RamRao	training	Ikuma	"Bâsudei" actually has two major climaxes, the theatrical production which spirals out of control when it should've been Sadako's finest hour on stage, and the discovery of where █████ had been hiding the alter ego, the lynch mob, behind an attack on our heroine, coming in contact, face-to-face with a fate worse than death.
RamRao	training	Ikuma	Potent finale, reiterating what I mentioned in the opening sentence of my user comment, as we witness █████'s decision to "end all of it" in regards to Sadako.
RamRao	training	Nolte	All logic is thrown into the wind, and the viewer's intelligence is insulted and pounded upon repeatedly with more force than that baseball bat could ever have generated - the one used by █████ and McGregor.
RamRao	training	Nolte	█████ was molesting corpses decades earlier and the writers of this film would have us believe that this man could years later become the city's chief police investigator!
RamRao	training	Thomas Edison	Making him the killer is as absurd as giving █████████████ credit for inventing the wheel, as laughable as a conspiracy-theory plot from the "X-Files", and as stupid as Kim Basinger's book on how to solve all of world's problems (if she'd ever write one).
RamRao	training	Nolte	This is an essential piece of the puzzle that is badly missing here; McGregor JUST HAPPENS to get a job where he meets █████.
RamRao	training	Nolte	And McGregor's best friend, Brolin, JUST HAPPENS to know a prostitute who is █████'s play toy (and later victim).
RamRao	training	Brolin	And to add some silliness, ██████ is some kind of a deranged thrill-seeker who acts like a total lunatic all the time.
RamRao	training	Brolin	And how the hell did ██████ get into the mortuary when he carried out his "practical joke"?
RamRao	training	Nolte	And how the hell did █████ manage to drag out a body of one of his victims within seconds of McGregor entering the room, without McGregor noticing it (the fact that he had his walkman on and/or was singing and/or talking doesn't make it any more believable)?
RamRao	training	Nolte	And what's with this annoying scene where Arquette JUST HAPPENS to walk into the mortuary at exactly the moment when McGregor is hitting █████ with a baseball bat and predictably starts thinking her boyfriend is the killer??!
RamRao	training	Brolin	More annoyances came from the scene in which ██████'s reaction to McGregor's telling him that the latter is been suspected of murder is to laugh!
RamRao	training	Sadako	It perhaps its not necessarily good as a part of the Ringu series but as a stand alone movie it simply is a really great one.<br /><br />This movie focuses on how ██████ becomes the murdering spirit.
RamRao	training	Sadako	This sort of ruins the image of the evil ██████ spirit we know from the other Ringu movies.
RamRao	training	Hannibal Rising	In that regard this movie suffers from the same problem as "███████████████".
RamRao	training	Sadako	For instance I never saw ██████ as a young adult but more as a 12 year old child or so.
RamRao	training	Carrie	You can see this movie as "Ringu" meets "██████", since this movie story- and character-wise definitely show some similarities to the Brian De Palma horror classic "██████", from 1976.<br /><br />The movie doesn't always have a too fast pace and there is not always a lot happening within the movie.
RamRao	training	Star Search	Many of the others have a certain brainless remedial value to watch while you do the dishes, chat on the internet or sort through your mail.<br /><br />As a serious talent search, however (like ███████████ was), it's absurd!
